사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,위반내용,전화번호,대표자명,환경오염위반유형구분명,데이터기준일자,제공기관코드,제공기관명
대경사료(주),대구광역시,달성군,대구광역시 달성군 구지면 국가산단동로42길 2-29,대구광역시 달성군 구지면 예현리 430,35.644547,128.433354,대기환경보전법 제39조제1항에 따른 자가측정을 위반한 다음과 같은 경우-자가측정을 하지 아니하거나 자가측정 횟수가 적정하지 아니한 경우,053-616-2080,,대기,2026-06-24,3480000,대구광역시 달성군
(주)와이엠피라이팅,대구광역시,달성군,대구광역시 달성군 구지면 달성2차동1로 10,대구광역시 달성군 구지면 내리 852-12,35.632003,128.420718,대기환경보전법 제31조제1항을 위반하여 다음과 같은 행위를 하는 경우-방지시설에 딸린 기계·기구류(예비용을 포함한다)의 고장 또는 훼손을 정당한 사유 없이 방치하는 행위,053-352-3523,,대기,2026-06-24,3480000,대구광역시 달성군
한국에스케이에프씰(주) 3공장,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로45길 33,대구광역시 달성군 논공읍 북리 1-156,35.73499,128.456554,대기환경보전법 제23조에 따라 배출시설설치허가(변경허가를 포함한다)를 받지 아니하거나 신고를 하지 아니하고 배출시설을 설치한 경우-해당지역이 배출시설의 설치가 가능한 지역인 경우,053-719-2481,,대기,2026-06-24,3480000,대구광역시 달성군
우주산업,대구광역시,달성군,대구광역시 달성군 하빈면 하빈남로 350-8,대구광역시 달성군 하빈면 봉촌리 844,35.861341,128.398868,대기환경보전법 제31조제2항에 따른 배출시설 및 방지시설의 운영에 관한 관리기록을 거짓으로 기재하였거나 보존·비치하지 아니한 경우,053-584-3472,,대기,2026-06-24,3480000,대구광역시 달성군
민영산업,대구광역시,달성군,대구광역시 달성군 하빈면 하산2길 76 맥도건설㈜,대구광역시 달성군 하빈면 하산리 636-1 맥도건설㈜,35.88564,128.408465,대기환경보전법 제31조제1항을 위반하여 다음과 같은 행위를 하는 경우-배출시설 가동 시에 방지시설을 가동하지 아니하거나 오염도를 낮추기 위하여 배출시설에서 배출되는 대기오염물질에,053-584-9516,,대기,2026-06-24,3480000,대구광역시 달성군
(주)청안이엔지,대구광역시,달성군,대구광역시 달성군 구지면 달성2차동3로 5 B동,대구광역시 달성군 구지면 예현리 768-16 B동,35.631639,128.427209,대기환경보전법 제39조제1항에 따른 자가측정을 위반한 다음과 같은 경우-자가측정을 하지 아니하거나 자가측정 횟수가 적정하지 아니한 경우,053-616-2630,,대기,2026-06-24,3480000,대구광역시 달성군
한국비철(주),대구광역시,달성군,대구광역시 달성군 논공읍 비슬로264길 23,대구광역시 달성군 논공읍 상리 783,35.746974,128.410302,대기환경보전법 제30조에 따른 가동개시신고를 하고 가동 중인 배출시설에서 배출되는 대기오염물질의 정도가 배출시설 또는 방지시설의 결함·고장 또는 운전미숙 등으로 인하여 대기환경보전,053-617-6300,,대기,2026-06-24,3480000,대구광역시 달성군
한국비철(주),대구광역시,달성군,대구광역시 달성군 논공읍 비슬로264길 23,대구광역시 달성군 논공읍 상리 783,35.746974,128.410302,대기환경보전법 제23조제2항 또는 대기환경보전법 제23조제3항을 위반하여 변경신고를 하지 아니한 경우,053-617-6300,,대기,2026-06-24,3480000,대구광역시 달성군
한유산업,대구광역시,달성군,대구광역시 달성군 하빈면 묘동1길 59,대구광역시 달성군 하빈면 묘리 1025-29,35.891888,128.420586,대기환경보전법 제23조에 따라 배출시설설치허가(변경허가를 포함한다)를 받지 아니하거나 신고를 하지 아니하고 배출시설을 설치한 경우-해당지역이 배출시설의 설치가 가능한 지역인 경우,053-000-0000,,대기,2026-06-24,3480000,대구광역시 달성군
(주)그린에너지환경,대구광역시,달성군,대구광역시 달성군 하빈면 묘동3길 122-57,대구광역시 달성군 하빈면 묘리 600-4,35.91562,128.420108,대기환경보전법 제31조제2항에 따른 배출시설 및 방지시설의 운영에 관한 관리기록을 거짓으로 기재하였거나 보존·비치하지 아니한 경우,053-000-0000,,대기,2026-06-24,3480000,대구광역시 달성군
